productName,gtin,batchId,sector,manufacturerName,manufacturerCountry,manufacturerDidWebUrl,batteryChemistry,batteryType,nominalVoltageV,nominalCapacityAh,expectedLifetimeCycles,ratedCapacityKwh,batteryWeightKg,operatingTempMinC,operatingTempMaxC,roundTripEfficiencyPct,stateOfHealthPct,co2ePerUnitKg,carbonFootprintClass,recycledContentCobaltPct,recycledContentLithiumPct,recycledContentNickelPct,recycledContentLeadPct,dueDiligenceUrl,repairabilityScore,material1Name,material1WeightKg,material1RecycledPct,material1OriginCountry,material2Name,material2WeightKg,material2RecycledPct,material2OriginCountry,material3Name,material3WeightKg,material3RecycledPct,material3OriginCountry
Odal Reference Battery LFP-48,09506000134352,BATCH-2026-Q2-007,battery,GreenCell GmbH,DE,https://greencell.example/.well-known/did.json,LFP,industrial,48.0,100.0,3000,4.8,48.0,-20,60,95.0,100.0,45.2,B,0.0,12.5,0.0,,https://greencell.example/due-diligence,7.5,Lithium Iron Phosphate,1.20,12.5,CN,Graphite,0.40,5.0,DE,Aluminium casing,0.30,90.0,DE
Odal Eco Battery LFP-24,09506000134369,BATCH-2026-Q2-012,battery,EcoVolt SE,DE,https://ecovolt.example/.well-known/did.json,LFP,industrial,24.0,50.0,4000,1.2,12.0,-20,60,95.0,99.0,22.4,A,0.0,20.0,0.0,,https://ecovolt.example/due-diligence,8.0,Lithium Iron Phosphate,0.55,20.0,DE,Graphite,0.18,7.0,SE,Aluminium casing,0.15,95.0,DE
Odal Industrial Battery NMC-48,09506000134376,BATCH-2026-Q2-018,battery,GreenCell GmbH,DE,https://greencell.example/.well-known/did.json,NMC,industrial,48.0,150.0,2500,7.2,72.0,-10,55,93.0,98.5,68.5,C,12.0,8.0,15.0,,https://greencell.example/due-diligence,6.8,Lithium Nickel Manganese Cobalt Oxide,1.80,8.0,FI,Graphite,0.55,10.0,NO,Steel casing,0.45,75.0,DE
Odal Power Battery LFP-12,09506000134383,BATCH-2026-Q2-004,battery,VoltForce GmbH,DE,https://voltforce.example/.well-known/did.json,LFP,industrial,12.0,80.0,3500,0.96,10.0,-20,60,95.0,100.0,11.0,A,0.0,18.0,0.0,,https://voltforce.example/due-diligence,8.3,Lithium Iron Phosphate,0.32,18.0,CN,Graphite,0.12,6.0,DE,,,,
Odal LongLife Battery LFP-48,09506000134390,BATCH-2026-Q2-030,battery,GreenCell GmbH,DE,https://greencell.example/.well-known/did.json,LFP,industrial,48.0,105.0,5000,5.04,50.0,-20,60,95.0,99.2,47.9,B,0.0,14.0,0.0,,https://greencell.example/due-diligence,7.2,Lithium Iron Phosphate,1.25,14.0,CN,Graphite,0.38,5.5,DE,Aluminium casing,0.32,91.0,IT
Odal Compact Battery NMC-36,09506000134406,BATCH-2026-Q2-045,battery,AkkuPro AG,DE,https://akkupro.example/.well-known/did.json,NMC,industrial,36.0,90.0,2800,3.24,32.0,-10,55,93.0,97.8,35.7,B,9.8,10.5,12.3,,https://akkupro.example/due-diligence,7.0,Lithium Nickel Manganese Cobalt Oxide,0.95,10.5,KR,Graphite,0.32,8.0,CA,Aluminium casing,0.22,88.0,DE
Odal Light Battery LFP-24,09506000134413,BATCH-2026-Q2-051,battery,EcoVolt SE,DE,https://ecovolt.example/.well-known/did.json,LFP,industrial,24.0,45.0,4500,1.08,11.0,-20,60,95.0,100.0,21.0,A,0.0,22.0,0.0,,https://ecovolt.example/due-diligence,8.5,Lithium Iron Phosphate,0.50,22.0,US,Graphite,0.17,7.0,DE,,,,
Odal HighCycle Battery LFP-48,09506000134420,BATCH-2026-Q2-067,battery,GreenCell GmbH,DE,https://greencell.example/.well-known/did.json,LFP,industrial,48.0,100.0,6000,4.8,48.0,-20,60,95.0,99.5,48.1,B,0.0,11.0,0.0,,https://greencell.example/due-diligence,7.4,Lithium Iron Phosphate,1.22,11.0,CN,Graphite,0.41,5.8,DE,Aluminium casing,0.33,92.0,PL
Odal Pro Battery NMC-24,09506000134437,BATCH-2026-Q2-073,battery,VoltForce GmbH,DE,https://voltforce.example/.well-known/did.json,NMC,industrial,24.0,65.0,3000,1.56,16.0,-10,55,93.0,98.0,29.3,B,11.0,9.0,14.0,,https://voltforce.example/due-diligence,7.8,Lithium Nickel Manganese Cobalt Oxide,0.72,9.0,CN,Graphite,0.24,9.0,DE,Polymer separator,0.05,0.0,JP
Odal Start Battery LFP-12,09506000134444,BATCH-2026-Q2-089,battery,AkkuPro AG,DE,https://akkupro.example/.well-known/did.json,LFP,industrial,12.0,75.0,4000,0.9,9.0,-20,60,95.0,99.9,10.8,A,0.0,19.0,0.0,,https://akkupro.example/due-diligence,8.7,Lithium Iron Phosphate,0.30,19.0,CN,Graphite,0.11,5.0,DE,Aluminium casing,0.08,94.0,DE
